,id,tag
0,585198,拜登
1,523051,NBA
2,496396,NBA
3,543351,拜登
4,486685,拜登
5,598742,拜登
6,575750,拜登
7,563532,NBA
8,615304,新盤市況
9,575465,拜登
10,536336,NBA
11,577503,拜登
12,529839,NBA
13,557054,新盤市況
14,485213,NBA
15,418689,NBA
16,442759,拜登
17,576642,拜登
18,592697,拜登
19,512141,拜登
20,509685,新盤市況
21,482632,新盤市況
22,594022,新盤市況
23,613928,拜登
24,545502,拜登
25,447692,新盤市況
26,587595,拜登
27,543918,拜登
28,490966,NBA
29,478219,拜登
30,460267,NBA
31,424711,NBA
32,577400,拜登
33,511504,NBA
34,544321,拜登
35,613210,拜登
36,548964,新盤市況
37,491893,NBA
38,501740,新盤市況
39,453445,NBA
40,518128,拜登
41,448327,拜登
42,530644,新盤市況
43,604500,拜登
44,489626,拜登
45,583386,拜登
46,544018,新盤市況
47,611278,NBA
48,555986,拜登
49,467422,NBA
50,527030,拜登
51,574769,拜登
52,584553,拜登
53,536314,NBA
54,446886,NBA
55,565532,NBA
56,615968,拜登
57,584133,拜登
58,588805,拜登
59,614893,拜登
60,513724,NBA
61,533203,NBA
62,539726,新盤市況
63,443570,拜登
64,477649,新盤市況
65,487725,拜登
66,531189,拜登
67,612633,拜登
68,522689,拜登
69,507591,NBA
70,597974,NBA
71,601793,拜登
72,472164,新盤市況
73,537724,新盤市況
74,575509,新盤市況
75,542840,NBA
76,479339,NBA
77,458777,拜登
78,548044,拜登
79,581229,新盤市況
80,512307,NBA
81,542731,拜登
82,556228,新盤市況
83,418870,新盤市況
84,591084,拜登
85,577169,拜登
86,526900,拜登
87,578641,新盤市況
88,509612,NBA
89,558998,新盤市況
90,591377,拜登
91,578312,NBA
92,539056,新盤市況
93,428682,NBA
94,546270,拜登
95,527710,拜登
96,554619,新盤市況
97,601396,拜登
98,497821,新盤市況
99,428101,新盤市況
100,504343,新盤市況
101,509978,NBA
102,468072,新盤市況
103,574203,拜登
104,572913,NBA
105,427609,NBA
106,483559,拜登
107,580246,拜登
108,590085,拜登
109,474891,NBA
110,556082,拜登
111,613576,新盤市況
112,558197,NBA
113,535616,NBA
114,560218,拜登
115,534700,拜登
116,487644,NBA
117,606225,新盤市況
118,511634,新盤市況
119,433023,拜登
120,594931,拜登
121,529579,新盤市況
122,575376,NBA
123,582286,拜登
124,571035,新盤市況
125,580952,新盤市況
126,613468,拜登
127,501944,拜登
128,443204,拜登
129,418705,新盤市況
130,576256,拜登
131,592715,NBA
132,417369,NBA
133,611406,拜登
134,448657,新盤市況
135,607252,拜登
136,583377,拜登
137,541234,拜登
138,590784,新盤市況
139,587209,拜登
140,602621,拜登
141,539901,拜登
142,549437,拜登
143,551707,新盤市況
144,609821,拜登
145,594678,拜登
146,577317,新盤市況
147,617004,拜登
148,524339,拜登
149,546244,拜登
150,554006,拜登
151,613315,拜登
152,532658,拜登
153,522928,拜登
154,546620,拜登
155,551306,拜登
156,535625,拜登
157,510330,拜登
158,547641,拜登
159,468665,NBA
160,577789,拜登
161,547645,拜登
162,547021,拜登
163,515726,拜登
164,597677,拜登
165,569993,拜登
166,510126,拜登
167,573090,拜登
168,546090,拜登
169,445675,拜登
170,504673,拜登
171,580147,新盤市況
172,498827,拜登
173,470788,拜登
174,558324,拜登
175,472442,新盤市況
176,577174,拜登
177,546092,拜登
178,601055,拜登
179,527169,新盤市況
180,538293,新盤市況
181,589764,NBA
182,540378,拜登
183,530538,拜登
184,572498,NBA
185,493970,新盤市況
186,504404,NBA
187,590570,拜登
188,576289,拜登
189,576033,拜登
190,559929,拜登
